"","day","temp","dewp","wdsp","nrm"
"120",5,48,34.8,12.1,0.412658227848101
"122",7,64.9,38.4,5.8,0.463291139240506
"123",1,70.1,42.9,8.5,0.612658227848101
"124",2,67.8,55,8.4,0.69873417721519
"125",3,56.1,48.3,7.2,0.488607594936709
"126",4,60.1,53.5,5.4,0.59746835443038
"127",5,71.2,52.9,7.8,0.817721518987342
"128",6,73.9,61.8,7.8,0.769620253164557
"129",7,60.4,56.3,7.2,0.460759493670886
"130",1,50.3,46.9,7.7,0.60253164556962
"131",2,59.9,54.5,9.4,0.620253164556962
"132",3,54.2,39.5,15.3,0.643037974683544
"133",4,49.6,35.3,9.3,0.668354430379747
"134",5,55.3,40.4,8.7,0.637974683544304
"135",6,67.6,58.2,9.8,0.807594936708861
"136",7,72.9,63.9,6,0.959493670886076
"137",1,74.9,66.4,11.3,0.843037974683544
"138",2,74.6,59.6,12.9,0.645569620253165
"139",3,51.4,37.4,10.5,0.516455696202532
"140",4,46.2,30.9,9.1,0.572151898734177
"141",5,54.7,37.9,7.3,0.612658227848101
"142",6,60.5,37.5,7.5,0.812658227848101
"143",7,65.7,37.6,6.7,0.746835443037975
"144",1,68.8,51.7,5.4,0.465822784810127
"145",2,74.3,63.4,12.8,0.518987341772152
"146",3,73.3,64.3,10.9,0.678481012658228
"147",4,70.9,60.2,11.7,0.592405063291139
"148",5,72,55.7,5.3,0.751898734177215
"149",6,75.7,62.5,8.7,0.822784810126582
"150",7,66,60.4,10.3,0.546835443037975
"151",1,48.7,42.8,15.6,0.412658227848101
"153",3,58,42.8,4.6,0.681012658227848
"154",4,65.3,50.1,6,0.693670886075949
"155",5,71,58,7.2,0.551898734177215
"156",6,66.8,57.6,11,0.716455696202532
"157",7,62.4,51.4,9.6,0.645569620253165
"158",1,68.2,59.9,9.3,0.59746835443038
"159",2,74.9,64.3,11.3,0.450632911392405
"160",3,72,57.5,5.9,0.577215189873418
"161",4,81.7,64.6,11.5,0.734177215189873
"162",5,72.1,60.1,6.2,0.756962025316456
"163",6,65.9,63.2,6.1,0.822784810126582
"164",7,69.7,62.8,5.8,0.784810126582278
"165",1,75.9,69.9,7.2,0.739240506329114
"166",2,76.4,71.8,6.7,0.59746835443038
"167",3,70.4,60.2,8.5,0.870886075949367
"168",4,63.5,52.5,4,0.554430379746835
"169",5,74.5,67.1,7.8,0.670886075949367
"170",6,63.1,53.5,10.7,0.688607594936709
"171",7,67.4,57.1,5.9,0.665822784810127
"172",1,76.8,66.6,7.8,0.708860759493671
"173",2,78.3,71.4,8.7,0.70126582278481
"174",3,77.2,61.9,9,0.579746835443038
"175",4,72.3,57.4,5,0.569620253164557
"176",5,73.4,65.2,6.7,0.711392405063291
"177",6,66.3,61.6,7.9,0.711392405063291
"178",7,66.5,54,9.2,0.556962025316456
"179",1,70,51.7,5,0.744303797468354
"180",2,70.6,63,4.4,0.627848101265823
"181",3,70.7,62.3,6.6,0.620253164556962
"182",4,62.6,53.7,7.7,0.974683544303797
"183",5,62.8,54,9.3,0.643037974683544
"184",6,68,54,6.3,0.670886075949367
"185",7,72.2,56.2,3.1,0.865822784810127
"186",1,76,59.6,3.5,1
"187",2,78.4,65.7,8.5,0.643037974683544
"188",3,69,57.5,12.3,0.50126582278481
"189",4,62.5,50.6,7.2,0.544303797468354
"190",5,66.3,57.4,7.2,0.425316455696203
"191",6,71.5,57,4.3,0.59746835443038
"192",7,73.7,57.2,3.7,0.746835443037975
"193",1,75,65.4,5.9,0.754430379746835
"194",2,78,67.6,9.1,0.706329113924051
"195",3,78,66.1,9.3,0.526582278481013
"196",4,68.2,52.4,10,0.739240506329114
"197",5,69.4,57.2,6.9,0.430379746835443
"198",6,80,70.8,7.8,0.815189873417722
"199",7,82.5,70.8,8,0.691139240506329
"200",1,82.1,68.8,7,0.660759493670886
"201",2,77.6,61.5,5.8,0.69620253164557
"202",3,77.1,57.7,7.4,0.691139240506329
"203",4,75.9,54.3,4.1,0.686075949367089
"204",5,77.7,56,4.1,0.777215189873418
"205",6,79.2,59.2,6,0.921518987341772
"206",7,80.8,66.7,8.2,0.830379746835443
"207",1,77.4,64.7,4.7,0.756962025316456
"208",2,80.3,64.2,6.8,0.840506329113924
"209",3,82.9,66.1,6.8,0.668354430379747
"210",4,83.3,65.7,8,0.658227848101266
"211",5,80,54.5,9.5,0.688607594936709
"212",6,80.7,55.8,9.9,0.70379746835443
